	Ctenosaura_bakeri	Cachryx_defensor	Iguana_delicatissima	Iguana_iguana	Cyclura_pinguis	Gambelia_wislizenii	Basiliscus_vittatus	Corytophanes_hernandesii	Laemanctus_serratus	Anolis_apletophallus	Anolis_lemurinus	Anolis_rodriguezii	Anolis_tropidonotus	Anolis_sericeus	Anolis_planiceps	Anolis_sagrei	Anolis_carolinensis	Sceloporus_tristichus	Sceloporus_undulatus	Sceloporus_occidentalis	Sceloporus_chrysostictus	Urosaurus_nigricaudus	Phrynosoma_platyrhinos	Phrynosoma_blainvillii	Calotes_versicolor	Agama_finchi	Agama_doriae	Xenagama_zonura	Acanthocercus_atricollis	Acanthocercus_guentherpetersi	Acanthocercus_cyanogaster	Acanthocercus_annectans	Phrynocephalus_versicolor	Phrynocephalus_vlangalii	Phrynocephalus_putjatai	Phrynocephalus_forsythii	Laudakia_wui	Pogona_vitticeps	Intellagama_lesueurii	Trioceros_balebicornutus	Trioceros_harennae	Trioceros_affinis	Chamaeleo_calyptratus	Chamaeleo_gracilis	Chamaeleo_laevigatus	Chamaeleo_dilepis	Bradypodion_ventrale	Bradypodion_pumilum	Furcifer_pardalis	Elgaria_multicarinata	Ophisaurus_attenuatus	Anniella_stebbinsi	Varanus_macraei	Varanus_salvator	Varanus_acanthurus	Varanus_komodoensis	Varanus_albigularis	Varanus_niloticus	Shinisaurus_crocodilurus	Acrochordus_granulatus	Latastia_doriai	Darevskia_unisexualis	Darevskia_armeniaca	Darevskia_mixta	Darevskia_valentini	Lacerta_agilis	Lacerta_bilineata	Lacerta_viridis	Zootoca_vivipara	Podarcis_bocagei	Podarcis_vaucheri	Podarcis_liolepis	Podarcis_muralis	Podarcis_raffonei	Podarcis_siculus	Podarcis_tiliguerta	Podarcis_filfolensis	Podarcis_cretensis	Podarcis_pityusensis	Podarcis_lilfordi	Podarcis_gaigeae	Podarcis_melisellensis	Podarcis_erhardii	Gallotia_galloti	Rhineura_floridana	Tretioscincus_oriximinensis	Calyptommatus_sinebrachiatus	Bachia_flavescens	Aspidoscelis_angusticeps	Aspidoscelis_marmoratus	Aspidoscelis_tigris	Holcosus_undulatus	Kentropyx_calcarata	Ameiva_ameiva	Tupinambis_teguixin	Salvator_merianae	Carinascincus_ocellatus	Cryptoblepharus_egeriae	Acritoscincus_duperreyi	Mochlus_sundevallii	Trachylepis_striata	Trachylepis_maculilabris	Trachylepis_brevicollis	Marisora_unimarginata	Tiliqua_scincoides	Tiliqua_occipitalis	Lerista_edwardsae	Mesoscincus_schwartzei	Plestiodon_gilberti	Cordylus_rivae	Hemicordylus_capensis	Paroedura_picta	Gekko_japonicus	Gekko_gecko	Lepidodactylus_listeri	Heteronotia_binoei	Hemidactylus_brookii	Hemidactylus_flaviviridis	Hemidactylus_macropholis	Mediodactylus_kotschyi	Asaccus_caudivolvulus	Thecadactylus_rapicauda	Tarentola_annularis	Sphaerodactylus_townsendi	Sphaerodactylus_glaucus	Gonatodes_alexandermendesi	Teratoscincus_roborowskii	Euleptes_europaea	Correlophus_ciliatus	Eublepharis_macularius	Coleonyx_elegans
Ctenosaura_bakeri	0	34.041258	43.3926	43.3926	53.504543839	166.084600146	166.084600146	166.084600146	166.084600146	172.547199929	172.547199929	172.54719993	172.547199929	172.547199933	172.547199928	172.547199926	172.54719993	237.79079983	237.79079983	237.790799829	237.790799822	237.79079982	237.79079983	237.79079983	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999872	336.206999871	336.206999871	336.206999871	336.206999868	336.20699987	336.20699987	336.2069998821	336.2069998821	336.2069998821	336.2069998721	336.2069998721	336.2069998721	336.2069998721	336.2069998761	336.2069998761	336.20699988	359.81879986	359.81879986	359.81879987	359.8187998652	359.8187998652	359.818799861	359.818799861	359.818799864	359.818799864	359.818799902	250.1232000402	376.6737998332	376.6737998317	376.6737998307	376.6737998307	376.6737998257	376.6737998357	376.6737998357	376.6737998357	376.6737998332	376.6737998356	376.6737998356	376.6737998364	376.6737998364	376.6737998362	376.6737998362	376.6737998362	376.6737998362	376.6737998364	376.6737998362	376.6737998362	376.6737998362	376.6737998362	376.6737998332	376.6737998432	376.6737997632	376.6737998432	376.6737998432	376.6737998432	376.6737998462	376.6737998412	376.6737998412	376.6737998462	376.6737998392	376.6737998392	376.6737998342	376.6737998342	407.4393997621	407.4393997621	407.4393997552	407.4393997752	407.4393997762	407.4393997762	407.4393997812	407.4393997712	407.4393997592	407.4393997592	407.4393997292	407.4393997642	407.4393997642	407.4393997242	407.4393997242	426.3841998212	426.3841998182	426.3841998182	426.3841998162	426.3841998262	426.3841998222	426.3841998222	426.3841998252	426.3841998152	426.3841998252	426.3841998252	426.3841998252	426.3841998352	426.3841998352	426.3841998252	426.3841998252	426.3841998252	426.3841998152	426.3841998212	426.3841998312
Cachryx_defensor	34.041258	0	43.3926	43.3926	53.504543839	166.084600146	166.084600146	166.084600146	166.084600146	172.547199929	172.547199929	172.54719993	172.547199929	172.547199933	172.547199928	172.547199926	172.54719993	237.79079983	237.79079983	237.790799829	237.790799822	237.79079982	237.79079983	237.79079983	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999872	336.206999871	336.206999871	336.206999871	336.206999868	336.20699987	336.20699987	336.2069998821	336.2069998821	336.2069998821	336.2069998721	336.2069998721	336.2069998721	336.2069998721	336.2069998761	336.2069998761	336.20699988	359.81879986	359.81879986	359.81879987	359.8187998652	359.8187998652	359.818799861	359.818799861	359.818799864	359.818799864	359.818799902	250.1232000402	376.6737998332	376.6737998317	376.6737998307	376.6737998307	376.6737998257	376.6737998357	376.6737998357	376.6737998357	376.6737998332	376.6737998356	376.6737998356	376.6737998364	376.6737998364	376.6737998362	376.6737998362	376.6737998362	376.6737998362	376.6737998364	376.6737998362	376.6737998362	376.6737998362	376.6737998362	376.6737998332	376.6737998432	376.6737997632	376.6737998432	376.6737998432	376.6737998432	376.6737998462	376.6737998412	376.6737998412	376.6737998462	376.6737998392	376.6737998392	376.6737998342	376.6737998342	407.4393997621	407.4393997621	407.4393997552	407.4393997752	407.4393997762	407.4393997762	407.4393997812	407.4393997712	407.4393997592	407.4393997592	407.4393997292	407.4393997642	407.4393997642	407.4393997242	407.4393997242	426.3841998212	426.3841998182	426.3841998182	426.3841998162	426.3841998262	426.3841998222	426.3841998222	426.3841998252	426.3841998152	426.3841998252	426.3841998252	426.3841998252	426.3841998352	426.3841998352	426.3841998252	426.3841998252	426.3841998252	426.3841998152	426.3841998212	426.3841998312
Iguana_delicatissima	43.3926	43.3926	0	30.668796	53.504543839	166.084600146	166.084600146	166.084600146	166.084600146	172.547199929	172.547199929	172.54719993	172.547199929	172.547199933	172.547199928	172.547199926	172.54719993	237.79079983	237.79079983	237.790799829	237.790799822	237.79079982	237.79079983	237.79079983	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999872	336.206999871	336.206999871	336.206999871	336.206999868	336.20699987	336.20699987	336.2069998821	336.2069998821	336.2069998821	336.2069998721	336.2069998721	336.2069998721	336.2069998721	336.2069998761	336.2069998761	336.20699988	359.81879986	359.81879986	359.81879987	359.8187998652	359.8187998652	359.818799861	359.818799861	359.818799864	359.818799864	359.818799902	250.1232000402	376.6737998332	376.6737998317	376.6737998307	376.6737998307	376.6737998257	376.6737998357	376.6737998357	376.6737998357	376.6737998332	376.6737998356	376.6737998356	376.6737998364	376.6737998364	376.6737998362	376.6737998362	376.6737998362	376.6737998362	376.6737998364	376.6737998362	376.6737998362	376.6737998362	376.6737998362	376.6737998332	376.6737998432	376.6737997632	376.6737998432	376.6737998432	376.6737998432	376.6737998462	376.6737998412	376.6737998412	376.6737998462	376.6737998392	376.6737998392	376.6737998342	376.6737998342	407.4393997621	407.4393997621	407.4393997552	407.4393997752	407.4393997762	407.4393997762	407.4393997812	407.4393997712	407.4393997592	407.4393997592	407.4393997292	407.4393997642	407.4393997642	407.4393997242	407.4393997242	426.3841998212	426.3841998182	426.3841998182	426.3841998162	426.3841998262	426.3841998222	426.3841998222	426.3841998252	426.3841998152	426.3841998252	426.3841998252	426.3841998252	426.3841998352	426.3841998352	426.3841998252	426.3841998252	426.3841998252	426.3841998152	426.3841998212	426.3841998312
Iguana_iguana	43.3926	43.3926	30.668796	0	53.504543839	166.084600146	166.084600146	166.084600146	166.084600146	172.547199929	172.547199929	172.54719993	172.547199929	172.547199933	172.547199928	172.547199926	172.54719993	237.79079983	237.79079983	237.790799829	237.790799822	237.79079982	237.79079983	237.79079983	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999864	336.206999872	336.206999871	336.206999871	336.206999871	336.206999868	336.20699987	336.20699987	336.2069998821	336.2069998821	336.2069998821	336.2069998721	336.2069998721	336.2069998721	336.2069998721	336.2069998761	336.2069998761	336.20699988	359.81879986	359.81879986	359.81879987	359.8187998652	359.8187998652	359.818799861	359.818799861	359.818799864	359.818799864	359.818799902	250.1232000402	376.6737998332	376.6737998317	376.6737998307	376.6737998307	376.6737998257	376.6737998357	376.6737998357	376.6737998357	376.6737998332	376.6737998356	376.6737998356	376.6737998364	376.6737998364	376.6737998362	376.6737998362	376.6737998362	376.6737998362	376.6737998364	376.6737998362	376.6737998362	376.6737998362	376.6737998362	376.6737998332	376.6737998432	376.6737997632	376.6737998432	376.6737998432	376.6737998432	376.6737998462	376.6737998412	376.6737998412	376.6737998462	376.6737998392	376.6737998392	376.6737998342	376.6737998342	407.4393997621	407.4393997621	407.4393997552	407.4393997752	407.4393997762	407.4393997762	407.4393997812	407.4393997712	407.4393997592	407.4393997592	407.4393997292	407.4393997642	407.4393997642	407.4393997242	407.4393997242	426.3841998212	426.3841998182	426.3841998182	426.3841998162	426.3841998262	426.3841998222	426.3841998222	426.3841998252	426.3841998152	426.3841998252	426.3841998252	426.3841998252	426.3841998352	426.3841998352	426.3841998252	426.3841998252	426.3841998252	426.3841998152	426.3841998212	426.3841998312
Cyclura_pinguis	53.504543839	53.504543839	53.504543839	53.504543839	0	166.084600147	166.084600147	166.084600147	166.084600147	172.54719993	172.54719993	172.547199931	172.54719993	172.547199934	172.547199929	172.547199927	172.547199931	237.790799831	237.790799831	237.79079983	237.790799823	237.790799821	237.790799831	237.790799831	336.206999865	336.206999865	336.206999865	336.206999865	336.206999865	336.206999865	336.206999865	336.206999865	336.206999873	336.206999872	336.206999872	336.206999872	336.206999869	336.206999871	336.206999871	336.2069998831	336.2069998831	336.2069998831	336.2069998731	336.2069998731	336.2069998731	336.2069998731	336.2069998771	336.2069998771	336.206999881	359.818799861	359.818799861	359.818799871	359.8187998662	359.8187998662	359.818799862	359.818799862	359.818799865	359.818799865	359.818799903	250.1232000412	376.6737998342	376.6737998327	376.6737998317	376.6737998317	376.6737998267	376.6737998367	376.6737998367	376.6737998367	376.6737998342	376.6737998366	376.6737998366	376.6737998374	376.6737998374	376.6737998372	376.6737998372	376.6737998372	376.6737998372	376.6737998374	376.6737998372	376.6737998372	376.6737998372	376.6737998372	376.6737998342	376.6737998442	376.6737997642	376.6737998442	376.6737998442	376.6737998442	376.6737998472	376.6737998422	376.6737998422	376.6737998472	376.6737998402	376.6737998402	376.6737998352	376.6737998352	407.4393997631	407.4393997631	407.4393997562	407.4393997762	407.4393997772	407.4393997772	407.4393997822	407.4393997722	407.4393997602	407.4393997602	407.4393997302	407.4393997652	407.4393997652	407.4393997252	407.4393997252	426.3841998222	426.3841998192	426.3841998192	426.3841998172	426.3841998272	426.3841998232	426.3841998232	426.3841998262	426.3841998162	426.3841998262	426.3841998262	426.3841998262	426.3841998362	426.3841998362	426.3841998262	426.3841998262	426.3841998262	426.3841998162	426.3841998222	426.3841998322
Gambelia_wislizenii	166.084600146	166.084600146	166.084600146	166.084600146	166.084600147	0	158.50931	158.50931	158.50931	172.547199917	172.547199917	172.547199918	172.547199917	172.547199921	172.547199916	172.547199914	172.547199918	237.790799818	237.790799818	237.790799817	237.79079981	237.790799808	237.790799818	237.790799818	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.20699986	336.206999859	336.206999859	336.206999859	336.206999856	336.206999858	336.206999858	336.2069998701	336.2069998701	336.2069998701	336.2069998601	336.2069998601	336.2069998601	336.2069998601	336.2069998641	336.2069998641	336.206999868	359.818799848	359.818799848	359.818799858	359.8187998532	359.8187998532	359.818799849	359.818799849	359.818799852	359.818799852	359.81879989	250.1232000282	376.6737998212	376.6737998197	376.6737998187	376.6737998187	376.6737998137	376.6737998237	376.6737998237	376.6737998237	376.6737998212	376.6737998236	376.6737998236	376.6737998244	376.6737998244	376.6737998242	376.6737998242	376.6737998242	376.6737998242	376.6737998244	376.6737998242	376.6737998242	376.6737998242	376.6737998242	376.6737998212	376.6737998312	376.6737997512	376.6737998312	376.6737998312	376.6737998312	376.6737998342	376.6737998292	376.6737998292	376.6737998342	376.6737998272	376.6737998272	376.6737998222	376.6737998222	407.4393997501	407.4393997501	407.4393997432	407.4393997632	407.4393997642	407.4393997642	407.4393997692	407.4393997592	407.4393997472	407.4393997472	407.4393997172	407.4393997522	407.4393997522	407.4393997122	407.4393997122	426.3841998092	426.3841998062	426.3841998062	426.3841998042	426.3841998142	426.3841998102	426.3841998102	426.3841998132	426.3841998032	426.3841998132	426.3841998132	426.3841998132	426.3841998232	426.3841998232	426.3841998132	426.3841998132	426.3841998132	426.3841998032	426.3841998092	426.3841998192
Basiliscus_vittatus	166.084600146	166.084600146	166.084600146	166.084600146	166.084600147	158.50931	0	94.8238	94.8238	172.547199917	172.547199917	172.547199918	172.547199917	172.547199921	172.547199916	172.547199914	172.547199918	237.790799818	237.790799818	237.790799817	237.79079981	237.790799808	237.790799818	237.790799818	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.20699986	336.206999859	336.206999859	336.206999859	336.206999856	336.206999858	336.206999858	336.2069998701	336.2069998701	336.2069998701	336.2069998601	336.2069998601	336.2069998601	336.2069998601	336.2069998641	336.2069998641	336.206999868	359.818799848	359.818799848	359.818799858	359.8187998532	359.8187998532	359.818799849	359.818799849	359.818799852	359.818799852	359.81879989	250.1232000282	376.6737998212	376.6737998197	376.6737998187	376.6737998187	376.6737998137	376.6737998237	376.6737998237	376.6737998237	376.6737998212	376.6737998236	376.6737998236	376.6737998244	376.6737998244	376.6737998242	376.6737998242	376.6737998242	376.6737998242	376.6737998244	376.6737998242	376.6737998242	376.6737998242	376.6737998242	376.6737998212	376.6737998312	376.6737997512	376.6737998312	376.6737998312	376.6737998312	376.6737998342	376.6737998292	376.6737998292	376.6737998342	376.6737998272	376.6737998272	376.6737998222	376.6737998222	407.4393997501	407.4393997501	407.4393997432	407.4393997632	407.4393997642	407.4393997642	407.4393997692	407.4393997592	407.4393997472	407.4393997472	407.4393997172	407.4393997522	407.4393997522	407.4393997122	407.4393997122	426.3841998092	426.3841998062	426.3841998062	426.3841998042	426.3841998142	426.3841998102	426.3841998102	426.3841998132	426.3841998032	426.3841998132	426.3841998132	426.3841998132	426.3841998232	426.3841998232	426.3841998132	426.3841998132	426.3841998132	426.3841998032	426.3841998092	426.3841998192
Corytophanes_hernandesii	166.084600146	166.084600146	166.084600146	166.084600146	166.084600147	158.50931	94.8238	0	70.587994	172.547199917	172.547199917	172.547199918	172.547199917	172.547199921	172.547199916	172.547199914	172.547199918	237.790799818	237.790799818	237.790799817	237.79079981	237.790799808	237.790799818	237.790799818	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.20699986	336.206999859	336.206999859	336.206999859	336.206999856	336.206999858	336.206999858	336.2069998701	336.2069998701	336.2069998701	336.2069998601	336.2069998601	336.2069998601	336.2069998601	336.2069998641	336.2069998641	336.206999868	359.818799848	359.818799848	359.818799858	359.8187998532	359.8187998532	359.818799849	359.818799849	359.818799852	359.818799852	359.81879989	250.1232000282	376.6737998212	376.6737998197	376.6737998187	376.6737998187	376.6737998137	376.6737998237	376.6737998237	376.6737998237	376.6737998212	376.6737998236	376.6737998236	376.6737998244	376.6737998244	376.6737998242	376.6737998242	376.6737998242	376.6737998242	376.6737998244	376.6737998242	376.6737998242	376.6737998242	376.6737998242	376.6737998212	376.6737998312	376.6737997512	376.6737998312	376.6737998312	376.6737998312	376.6737998342	376.6737998292	376.6737998292	376.6737998342	376.6737998272	376.6737998272	376.6737998222	376.6737998222	407.4393997501	407.4393997501	407.4393997432	407.4393997632	407.4393997642	407.4393997642	407.4393997692	407.4393997592	407.4393997472	407.4393997472	407.4393997172	407.4393997522	407.4393997522	407.4393997122	407.4393997122	426.3841998092	426.3841998062	426.3841998062	426.3841998042	426.3841998142	426.3841998102	426.3841998102	426.3841998132	426.3841998032	426.3841998132	426.3841998132	426.3841998132	426.3841998232	426.3841998232	426.3841998132	426.3841998132	426.3841998132	426.3841998032	426.3841998092	426.3841998192
Laemanctus_serratus	166.084600146	166.084600146	166.084600146	166.084600146	166.084600147	158.50931	94.8238	70.587994	0	172.547199917	172.547199917	172.547199918	172.547199917	172.547199921	172.547199916	172.547199914	172.547199918	237.790799818	237.790799818	237.790799817	237.79079981	237.790799808	237.790799818	237.790799818	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.206999852	336.20699986	336.206999859	336.206999859	336.206999859	336.206999856	336.206999858	336.206999858	336.2069998701	336.2069998701	336.2069998701	336.2069998601	336.2069998601	336.2069998601	336.2069998601	336.2069998641	336.2069998641	336.206999868	359.818799848	359.818799848	359.818799858	359.8187998532	359.8187998532	359.818799849	359.818799849	359.818799852	359.818799852	359.81879989	250.1232000282	376.6737998212	376.6737998197	376.6737998187	376.6737998187	376.6737998137	376.6737998237	376.6737998237	376.6737998237	376.6737998212	376.6737998236	376.6737998236	376.6737998244	376.6737998244	376.6737998242	376.6737998242	376.6737998242	376.6737998242	376.6737998244	376.6737998242	376.6737998242	376.6737998242	376.6737998242	376.6737998212	376.6737998312	376.6737997512	376.6737998312	376.6737998312	376.6737998312	376.6737998342	376.6737998292	376.6737998292	376.6737998342	376.6737998272	376.6737998272	376.6737998222	376.6737998222	407.4393997501	407.4393997501	407.4393997432	407.4393997632	407.4393997642	407.4393997642	407.4393997692	407.4393997592	407.4393997472	407.4393997472	407.4393997172	407.4393997522	407.4393997522	407.4393997122	407.4393997122	426.3841998092	426.3841998062	426.3841998062	426.3841998042	426.3841998142	426.3841998102	426.3841998102	426.3841998132	426.3841998032	426.3841998132	426.3841998132	426.3841998132	426.3841998232	426.3841998232	426.3841998132	426.3841998132	426.3841998132	426.3841998032	426.3841998092	426.3841998192
Anolis_apletophallus	172.547199929	172.547199929	172.547199929	172.547199929	172.54719993	172.547199917	172.547199917	172.547199917	172.547199917	0	21.430878	23.944217059	29.3224629	39.209746076	46.679756981	53.446230743	63.595526599	237.790799819	237.790799819	237.790799818	237.790799811	237.790799809	237.790799819	237.790799819	336.206999853	336.206999853	336.206999853	336.206999853	336.206999853	336.206999853	336.206999853	336.206999853	336.206999861	336.20699986	336.20699986	336.20699986	336.206999857	336.206999859	336.206999859	336.2069998711	336.2069998711	336.2069998711	336.2069998611	336.2069998611	336.2069998611	336.2069998611	336.2069998651	336.2069998651	336.206999869	359.818799849	359.818799849	359.818799859	359.8187998542	359.8187998542	359.81879985	359.81879985	359.818799853	359.818799853	359.818799891	250.1232000292	376.6737998222	376.6737998207	376.6737998197	376.6737998197	376.6737998147	376.6737998247	376.6737998247	376.6737998247	376.6737998222	376.6737998246	376.6737998246	376.6737998254	376.6737998254	376.6737998252	376.6737998252	376.6737998252	376.6737998252	376.6737998254	376.6737998252	376.6737998252	376.6737998252	376.6737998252	376.6737998222	376.6737998322	376.6737997522	376.6737998322	376.6737998322	376.6737998322	376.6737998352	376.6737998302	376.6737998302	376.6737998352	376.6737998282	376.6737998282	376.6737998232	376.6737998232	407.4393997511	407.4393997511	407.4393997442	407.4393997642	407.4393997652	407.4393997652	407.4393997702	407.4393997602	407.4393997482	407.4393997482	407.4393997182	407.4393997532	407.4393997532	407.4393997132	407.4393997132	426.3841998102	426.3841998072	426.3841998072	426.3841998052	426.3841998152	426.3841998112	426.3841998112	426.3841998142	426.3841998042	426.3841998142	426.3841998142	426.3841998142	426.3841998242	426.3841998242	426.3841998142	426.3841998142	426.3841998142	426.3841998042	426.3841998102	426.3841998202
