	Masticophis_lateralis	Coluber_constrictor	Drymarchon_corais	Phrynonax_poecilonotus	Leptophis_mexicanus	Drymobius_margaritiferus	Ptyas_mucosa	Arizona_elegans	Pantherophis_guttatus	Pantherophis_vulpinus	Pantherophis_alleghaniensis	Pantherophis_spiloides	Pantherophis_obsoletus	Pituophis_catenifer	Pseudelaphe_flavirufa	Elaphe_schrenckii	Oligodon_sublineatus	Oligodon_taeniolatus	Crotaphopeltis_hotamboeia	Telescopus_dhara	Boiga_trigonata	Boiga_beddomei	Boiga_ceylonensis	Boiga_barnesii	Dasypeltis_abyssina	Lycodon_aulicus	Lycodon_carinatus	Stegonotus_admiraltiensis	Hemorrhois_hippocrepis	Philothamnus_battersbyi	Dendrelaphis_bifrenalis	Dendrelaphis_tristis	Dendrelaphis_schokari	Dendrelaphis_caudolineolatus	Chrysopelea_ornata	Ahaetulla_pulverulenta	Ahaetulla_nasuta	Ahaetulla_prasina	Grayia_smithii	Sibynophis_collaris	Sibynophis_subpunctatus	Thamnophis_elegans	Thamnophis_saurita	Thamnophis_sirtalis	Nerodia_floridana	Natrix_natrix	Natrix_helvetica	Natrix_maura	Rhabdophis_nuchalis	Fowlea_piscator	Amphiesma_stolatum	Natriciteres_olivacea	Aspidura_guentheri	Erythrolamprus_reginae	Xenodon_rabdocephalus	Siphlophis_compressus	Tropidodipsas_fasciata	Tropidodipsas_sartorii	Ninia_sebae	Ninia_diademata	Coniophanes_schmidti	Coniophanes_imperialis	Leptodeira_frenata	Imantodes_gemmistratus	Imantodes_tenuissimus	Imantodes_cenchoa	Diadophis_punctatus	Thermophis_baileyi	Pseudoxenodon_macrops	Pseudoxenodon_stejnegeri	Hydrophis_ornatus	Hydrophis_major	Hydrophis_schistosus	Hydrophis_curtus	Hydrophis_elegans	Hydrophis_melanocephalus	Hydrophis_cyanocinctus	Aipysurus_laevis	Notechis_scutatus	Pseudonaja_textilis	Laticauda_colubrina	Laticauda_laticaudata	Bungarus_multicinctus	Bungarus_caeruleus	Bungarus_ceylonicus	Naja_melanoleuca	Naja_haje	Naja_naja	Naja_nigricollis	Aspidelaps_lubricus	Ophiophagus_hannah	Micrurus_fulvius	Micrurus_diastema	Psammophis_sibilans	Psammophis_punctulatus	Mimophis_mahfalensis	Malpolon_monspessulanus	Psammodynastes_pulverulentus	Aparallactus_lunulatus	Aparallactus_werneri	Atractaspis_microlepidota	Atractaspis_fallax	Boaedon_fuliginosus	Lamprophis_erlangeri	Pseudoxyrhopus_heterurus	Oxyrhabdium_leporinum	Cerberus_rynchops	Bothrops_atrox	Bothrops_asper	Bothrops_jararaca	Bothrops_alternatus	Bothrops_fonsecai	Bothrops_cotiara	Crotalus_simus	Crotalus_horridus	Crotalus_helleri	Crotalus_viridis	Crotalus_tigris	Crotalus_mitchellii	Crotalus_adamanteus	Crotalus_ruber	Crotalus_aquilus	Crotalus_enyo	Sistrurus_catenatus	Agkistrodon_piscivorus	Protobothrops_mucrosquamatus	Protobothrops_flavoviridis	Trimeresurus_albolabris	Trimeresurus_trigonocephalus	Hypnale_hypnale	Azemiops_feae	Vipera_ursinii	Vipera_berus	Vipera_latastei	Vipera_ammodytes	Daboia_russelii	Daboia_siamensis	Macrovipera_schweizeri	Cerastes_gasperettii	Bitis_arietans	Causus_rhombeatus	Pareas_carinatus	Acrochordus_granulatus	Corallus_caninus	Boa_constrictor	Candoia_aspera	Charina_bottae	Liasis_olivaceus	Simalia_tracyae	Simalia_boeleni	Morelia_carinata	Morelia_viridis	Python_bivittatus	Rhinophis_saffragamus	Anilius_scytale	Anilios_bituberculatus
Masticophis_lateralis	0	15.284598	27.0588346982	27.0588346982	28.2619466269	28.2619466269	31.3670682372	32.7659953299	32.7659953299	32.7659953299	32.7659953301	32.7659953301	32.7659953301	32.7659953299	32.7659953295	32.7659953285	34.4333136471	34.4333136471	34.8099795337	34.8099795337	34.8099795297	34.8099795297	34.8099795297	34.8099795287	34.8099795326	34.8099795286	34.8099795286	34.8099795326	35.6052553669	35.6052553669	47.4747992971	47.4747993001	47.4747993001	47.4747993001	47.4747992971	47.4747993001	47.4747993001	47.4747992991	51.1073393201	52.5489353434	52.5489353434	55.2737994874	55.2737994878	55.2737994878	55.2737994884	55.2737994884	55.2737994884	55.2737994884	55.2737994848	55.2737994888	55.2737994888	55.2737994848	55.2737994868	58.3101998334	58.3101998334	58.3101998304	58.3101998341	58.3101998341	58.3101998348	58.3101998348	58.3101998358	58.3101998358	58.3101998394	58.3101998344	58.3101998344	58.3101998344	58.3101998384	58.3101998324	58.3101998304	58.3101998304	66.54459999369	66.54459999369	66.54459999399	66.5445999936	66.5445999936	66.5445999942	66.5445999942	66.5445999942	66.5445999942	66.5445999947	66.5445999947	66.5445999947	66.5445999937	66.5445999937	66.5445999937	66.5445999951	66.5445999941	66.5445999941	66.5445999936	66.5445999906	66.5445999916	66.5445999984	66.5445999984	66.5445999939	66.5445999939	66.5445999899	66.5445999965	66.5445999975	66.5445999935	66.5445999935	66.5445999985	66.5445999985	66.5445999887	66.5445999887	66.544599994	66.544599997	71.6449999994	87.2756000587	87.2756000587	87.2756000587	87.2756000584	87.2756000584	87.2756000584	87.2756000569	87.2756000579	87.2756000582	87.2756000582	87.2756000582	87.2756000582	87.2756000582	87.2756000572	87.2756000573	87.2756000578	87.2756000577	87.2756000557	87.2756000584	87.2756000584	87.2756000574	87.2756000574	87.2756000534	87.2756000544	87.2756000584	87.2756000584	87.2756000584	87.2756000584	87.2756000604	87.2756000604	87.2756000584	87.2756000584	87.2756000554	87.2756000554	95.4102000604	139.5252000604	166.4444000407	166.4444000407	166.4444000377	166.4444000477	166.4444000557	166.4444000527	166.4444000527	166.4444000527	166.4444000527	166.4444000477	166.4444000287	177.8114000384	240.6208000484
Coluber_constrictor	15.284598	0	27.0588346982	27.0588346982	28.2619466269	28.2619466269	31.3670682372	32.7659953299	32.7659953299	32.7659953299	32.7659953301	32.7659953301	32.7659953301	32.7659953299	32.7659953295	32.7659953285	34.4333136471	34.4333136471	34.8099795337	34.8099795337	34.8099795297	34.8099795297	34.8099795297	34.8099795287	34.8099795326	34.8099795286	34.8099795286	34.8099795326	35.6052553669	35.6052553669	47.4747992971	47.4747993001	47.4747993001	47.4747993001	47.4747992971	47.4747993001	47.4747993001	47.4747992991	51.1073393201	52.5489353434	52.5489353434	55.2737994874	55.2737994878	55.2737994878	55.2737994884	55.2737994884	55.2737994884	55.2737994884	55.2737994848	55.2737994888	55.2737994888	55.2737994848	55.2737994868	58.3101998334	58.3101998334	58.3101998304	58.3101998341	58.3101998341	58.3101998348	58.3101998348	58.3101998358	58.3101998358	58.3101998394	58.3101998344	58.3101998344	58.3101998344	58.3101998384	58.3101998324	58.3101998304	58.3101998304	66.54459999369	66.54459999369	66.54459999399	66.5445999936	66.5445999936	66.5445999942	66.5445999942	66.5445999942	66.5445999942	66.5445999947	66.5445999947	66.5445999947	66.5445999937	66.5445999937	66.5445999937	66.5445999951	66.5445999941	66.5445999941	66.5445999936	66.5445999906	66.5445999916	66.5445999984	66.5445999984	66.5445999939	66.5445999939	66.5445999899	66.5445999965	66.5445999975	66.5445999935	66.5445999935	66.5445999985	66.5445999985	66.5445999887	66.5445999887	66.544599994	66.544599997	71.6449999994	87.2756000587	87.2756000587	87.2756000587	87.2756000584	87.2756000584	87.2756000584	87.2756000569	87.2756000579	87.2756000582	87.2756000582	87.2756000582	87.2756000582	87.2756000582	87.2756000572	87.2756000573	87.2756000578	87.2756000577	87.2756000557	87.2756000584	87.2756000584	87.2756000574	87.2756000574	87.2756000534	87.2756000544	87.2756000584	87.2756000584	87.2756000584	87.2756000584	87.2756000604	87.2756000604	87.2756000584	87.2756000584	87.2756000554	87.2756000554	95.4102000604	139.5252000604	166.4444000407	166.4444000407	166.4444000377	166.4444000477	166.4444000557	166.4444000527	166.4444000527	166.4444000527	166.4444000527	166.4444000477	166.4444000287	177.8114000384	240.6208000484
Drymarchon_corais	27.0588346982	27.0588346982	0	25.80454918	28.2619466291	28.2619466291	31.3670682394	32.7659953321	32.7659953321	32.7659953321	32.7659953323	32.7659953323	32.7659953323	32.7659953321	32.7659953317	32.7659953307	34.4333136493	34.4333136493	34.8099795359	34.8099795359	34.8099795319	34.8099795319	34.8099795319	34.8099795309	34.8099795348	34.8099795308	34.8099795308	34.8099795348	35.6052553691	35.6052553691	47.4747992993	47.4747993023	47.4747993023	47.4747993023	47.4747992993	47.4747993023	47.4747993023	47.4747993013	51.1073393223	52.5489353456	52.5489353456	55.2737994896	55.27379949	55.27379949	55.2737994906	55.2737994906	55.2737994906	55.2737994906	55.273799487	55.273799491	55.273799491	55.273799487	55.273799489	58.3101998356	58.3101998356	58.3101998326	58.3101998363	58.3101998363	58.310199837	58.310199837	58.310199838	58.310199838	58.3101998416	58.3101998366	58.3101998366	58.3101998366	58.3101998406	58.3101998346	58.3101998326	58.3101998326	66.54459999589	66.54459999589	66.54459999619	66.5445999958	66.5445999958	66.5445999964	66.5445999964	66.5445999964	66.5445999964	66.5445999969	66.5445999969	66.5445999969	66.5445999959	66.5445999959	66.5445999959	66.5445999973	66.5445999963	66.5445999963	66.5445999958	66.5445999928	66.5445999938	66.5446000006	66.5446000006	66.5445999961	66.5445999961	66.5445999921	66.5445999987	66.5445999997	66.5445999957	66.5445999957	66.5446000007	66.5446000007	66.5445999909	66.5445999909	66.5445999962	66.5445999992	71.6450000016	87.2756000609	87.2756000609	87.2756000609	87.2756000606	87.2756000606	87.2756000606	87.2756000591	87.2756000601	87.2756000604	87.2756000604	87.2756000604	87.2756000604	87.2756000604	87.2756000594	87.2756000595	87.27560006	87.2756000599	87.2756000579	87.2756000606	87.2756000606	87.2756000596	87.2756000596	87.2756000556	87.2756000566	87.2756000606	87.2756000606	87.2756000606	87.2756000606	87.2756000626	87.2756000626	87.2756000606	87.2756000606	87.2756000576	87.2756000576	95.4102000626	139.5252000626	166.4444000429	166.4444000429	166.4444000399	166.4444000499	166.4444000579	166.4444000549	166.4444000549	166.4444000549	166.4444000549	166.4444000499	166.4444000309	177.8114000406	240.6208000506
Phrynonax_poecilonotus	27.0588346982	27.0588346982	25.80454918	0	28.2619466291	28.2619466291	31.3670682394	32.7659953321	32.7659953321	32.7659953321	32.7659953323	32.7659953323	32.7659953323	32.7659953321	32.7659953317	32.7659953307	34.4333136493	34.4333136493	34.8099795359	34.8099795359	34.8099795319	34.8099795319	34.8099795319	34.8099795309	34.8099795348	34.8099795308	34.8099795308	34.8099795348	35.6052553691	35.6052553691	47.4747992993	47.4747993023	47.4747993023	47.4747993023	47.4747992993	47.4747993023	47.4747993023	47.4747993013	51.1073393223	52.5489353456	52.5489353456	55.2737994896	55.27379949	55.27379949	55.2737994906	55.2737994906	55.2737994906	55.2737994906	55.273799487	55.273799491	55.273799491	55.273799487	55.273799489	58.3101998356	58.3101998356	58.3101998326	58.3101998363	58.3101998363	58.310199837	58.310199837	58.310199838	58.310199838	58.3101998416	58.3101998366	58.3101998366	58.3101998366	58.3101998406	58.3101998346	58.3101998326	58.3101998326	66.54459999589	66.54459999589	66.54459999619	66.5445999958	66.5445999958	66.5445999964	66.5445999964	66.5445999964	66.5445999964	66.5445999969	66.5445999969	66.5445999969	66.5445999959	66.5445999959	66.5445999959	66.5445999973	66.5445999963	66.5445999963	66.5445999958	66.5445999928	66.5445999938	66.5446000006	66.5446000006	66.5445999961	66.5445999961	66.5445999921	66.5445999987	66.5445999997	66.5445999957	66.5445999957	66.5446000007	66.5446000007	66.5445999909	66.5445999909	66.5445999962	66.5445999992	71.6450000016	87.2756000609	87.2756000609	87.2756000609	87.2756000606	87.2756000606	87.2756000606	87.2756000591	87.2756000601	87.2756000604	87.2756000604	87.2756000604	87.2756000604	87.2756000604	87.2756000594	87.2756000595	87.27560006	87.2756000599	87.2756000579	87.2756000606	87.2756000606	87.2756000596	87.2756000596	87.2756000556	87.2756000566	87.2756000606	87.2756000606	87.2756000606	87.2756000606	87.2756000626	87.2756000626	87.2756000606	87.2756000606	87.2756000576	87.2756000576	95.4102000626	139.5252000626	166.4444000429	166.4444000429	166.4444000399	166.4444000499	166.4444000579	166.4444000549	166.4444000549	166.4444000549	166.4444000549	166.4444000499	166.4444000309	177.8114000406	240.6208000506
Leptophis_mexicanus	28.2619466269	28.2619466269	28.2619466291	28.2619466291	0	27.6411585	31.3670682377	32.7659953304	32.7659953304	32.7659953304	32.7659953306	32.7659953306	32.7659953306	32.7659953304	32.76599533	32.765995329	34.4333136476	34.4333136476	34.8099795342	34.8099795342	34.8099795302	34.8099795302	34.8099795302	34.8099795292	34.8099795331	34.8099795291	34.8099795291	34.8099795331	35.6052553674	35.6052553674	47.4747992976	47.4747993006	47.4747993006	47.4747993006	47.4747992976	47.4747993006	47.4747993006	47.4747992996	51.1073393206	52.5489353439	52.5489353439	55.2737994879	55.2737994883	55.2737994883	55.2737994889	55.2737994889	55.2737994889	55.2737994889	55.2737994853	55.2737994893	55.2737994893	55.2737994853	55.2737994873	58.3101998339	58.3101998339	58.3101998309	58.3101998346	58.3101998346	58.3101998353	58.3101998353	58.3101998363	58.3101998363	58.3101998399	58.3101998349	58.3101998349	58.3101998349	58.3101998389	58.3101998329	58.3101998309	58.3101998309	66.54459999419	66.54459999419	66.54459999449	66.5445999941	66.5445999941	66.5445999947	66.5445999947	66.5445999947	66.5445999947	66.5445999952	66.5445999952	66.5445999952	66.5445999942	66.5445999942	66.5445999942	66.5445999956	66.5445999946	66.5445999946	66.5445999941	66.5445999911	66.5445999921	66.5445999989	66.5445999989	66.5445999944	66.5445999944	66.5445999904	66.544599997	66.544599998	66.544599994	66.544599994	66.544599999	66.544599999	66.5445999892	66.5445999892	66.5445999945	66.5445999975	71.6449999999	87.2756000592	87.2756000592	87.2756000592	87.2756000589	87.2756000589	87.2756000589	87.2756000574	87.2756000584	87.2756000587	87.2756000587	87.2756000587	87.2756000587	87.2756000587	87.2756000577	87.2756000578	87.2756000583	87.2756000582	87.2756000562	87.2756000589	87.2756000589	87.2756000579	87.2756000579	87.2756000539	87.2756000549	87.2756000589	87.2756000589	87.2756000589	87.2756000589	87.2756000609	87.2756000609	87.2756000589	87.2756000589	87.2756000559	87.2756000559	95.4102000609	139.5252000609	166.4444000412	166.4444000412	166.4444000382	166.4444000482	166.4444000562	166.4444000532	166.4444000532	166.4444000532	166.4444000532	166.4444000482	166.4444000292	177.8114000389	240.6208000489
Drymobius_margaritiferus	28.2619466269	28.2619466269	28.2619466291	28.2619466291	27.6411585	0	31.3670682377	32.7659953304	32.7659953304	32.7659953304	32.7659953306	32.7659953306	32.7659953306	32.7659953304	32.76599533	32.765995329	34.4333136476	34.4333136476	34.8099795342	34.8099795342	34.8099795302	34.8099795302	34.8099795302	34.8099795292	34.8099795331	34.8099795291	34.8099795291	34.8099795331	35.6052553674	35.6052553674	47.4747992976	47.4747993006	47.4747993006	47.4747993006	47.4747992976	47.4747993006	47.4747993006	47.4747992996	51.1073393206	52.5489353439	52.5489353439	55.2737994879	55.2737994883	55.2737994883	55.2737994889	55.2737994889	55.2737994889	55.2737994889	55.2737994853	55.2737994893	55.2737994893	55.2737994853	55.2737994873	58.3101998339	58.3101998339	58.3101998309	58.3101998346	58.3101998346	58.3101998353	58.3101998353	58.3101998363	58.3101998363	58.3101998399	58.3101998349	58.3101998349	58.3101998349	58.3101998389	58.3101998329	58.3101998309	58.3101998309	66.54459999419	66.54459999419	66.54459999449	66.5445999941	66.5445999941	66.5445999947	66.5445999947	66.5445999947	66.5445999947	66.5445999952	66.5445999952	66.5445999952	66.5445999942	66.5445999942	66.5445999942	66.5445999956	66.5445999946	66.5445999946	66.5445999941	66.5445999911	66.5445999921	66.5445999989	66.5445999989	66.5445999944	66.5445999944	66.5445999904	66.544599997	66.544599998	66.544599994	66.544599994	66.544599999	66.544599999	66.5445999892	66.5445999892	66.5445999945	66.5445999975	71.6449999999	87.2756000592	87.2756000592	87.2756000592	87.2756000589	87.2756000589	87.2756000589	87.2756000574	87.2756000584	87.2756000587	87.2756000587	87.2756000587	87.2756000587	87.2756000587	87.2756000577	87.2756000578	87.2756000583	87.2756000582	87.2756000562	87.2756000589	87.2756000589	87.2756000579	87.2756000579	87.2756000539	87.2756000549	87.2756000589	87.2756000589	87.2756000589	87.2756000589	87.2756000609	87.2756000609	87.2756000589	87.2756000589	87.2756000559	87.2756000559	95.4102000609	139.5252000609	166.4444000412	166.4444000412	166.4444000382	166.4444000482	166.4444000562	166.4444000532	166.4444000532	166.4444000532	166.4444000532	166.4444000482	166.4444000292	177.8114000389	240.6208000489
Ptyas_mucosa	31.3670682372	31.3670682372	31.3670682394	31.3670682394	31.3670682377	31.3670682377	0	32.7659953327	32.7659953327	32.7659953327	32.7659953329	32.7659953329	32.7659953329	32.7659953327	32.7659953323	32.7659953313	34.4333136499	34.4333136499	34.8099795365	34.8099795365	34.8099795325	34.8099795325	34.8099795325	34.8099795315	34.8099795354	34.8099795314	34.8099795314	34.8099795354	35.6052553697	35.6052553697	47.4747992999	47.4747993029	47.4747993029	47.4747993029	47.4747992999	47.4747993029	47.4747993029	47.4747993019	51.1073393229	52.5489353462	52.5489353462	55.2737994902	55.2737994906	55.2737994906	55.2737994912	55.2737994912	55.2737994912	55.2737994912	55.2737994876	55.2737994916	55.2737994916	55.2737994876	55.2737994896	58.3101998362	58.3101998362	58.3101998332	58.3101998369	58.3101998369	58.3101998376	58.3101998376	58.3101998386	58.3101998386	58.3101998422	58.3101998372	58.3101998372	58.3101998372	58.3101998412	58.3101998352	58.3101998332	58.3101998332	66.54459999649	66.54459999649	66.54459999679	66.5445999964	66.5445999964	66.544599997	66.544599997	66.544599997	66.544599997	66.5445999975	66.5445999975	66.5445999975	66.5445999965	66.5445999965	66.5445999965	66.5445999979	66.5445999969	66.5445999969	66.5445999964	66.5445999934	66.5445999944	66.5446000012	66.5446000012	66.5445999967	66.5445999967	66.5445999927	66.5445999993	66.5446000003	66.5445999963	66.5445999963	66.5446000013	66.5446000013	66.5445999915	66.5445999915	66.5445999968	66.5445999998	71.6450000022	87.2756000615	87.2756000615	87.2756000615	87.2756000612	87.2756000612	87.2756000612	87.2756000597	87.2756000607	87.275600061	87.275600061	87.275600061	87.275600061	87.275600061	87.27560006	87.2756000601	87.2756000606	87.2756000605	87.2756000585	87.2756000612	87.2756000612	87.2756000602	87.2756000602	87.2756000562	87.2756000572	87.2756000612	87.2756000612	87.2756000612	87.2756000612	87.2756000632	87.2756000632	87.2756000612	87.2756000612	87.2756000582	87.2756000582	95.4102000632	139.5252000632	166.4444000435	166.4444000435	166.4444000405	166.4444000505	166.4444000585	166.4444000555	166.4444000555	166.4444000555	166.4444000555	166.4444000505	166.4444000315	177.8114000412	240.6208000512
Arizona_elegans	32.7659953299	32.7659953299	32.7659953321	32.7659953321	32.7659953304	32.7659953304	32.7659953327	0	16.702936698	16.702936698	16.7029366982	16.7029366982	16.7029366982	16.702936698	18.0227107824	23.2231718014	34.433313648	34.433313648	34.8099795346	34.8099795346	34.8099795306	34.8099795306	34.8099795306	34.8099795296	34.8099795335	34.8099795295	34.8099795295	34.8099795335	35.6052553678	35.6052553678	47.474799298	47.474799301	47.474799301	47.474799301	47.474799298	47.474799301	47.474799301	47.4747993	51.107339321	52.5489353443	52.5489353443	55.2737994883	55.2737994887	55.2737994887	55.2737994893	55.2737994893	55.2737994893	55.2737994893	55.2737994857	55.2737994897	55.2737994897	55.2737994857	55.2737994877	58.3101998343	58.3101998343	58.3101998313	58.310199835	58.310199835	58.3101998357	58.3101998357	58.3101998367	58.3101998367	58.3101998403	58.3101998353	58.3101998353	58.3101998353	58.3101998393	58.3101998333	58.3101998313	58.3101998313	66.54459999459	66.54459999459	66.54459999489	66.5445999945	66.5445999945	66.5445999951	66.5445999951	66.5445999951	66.5445999951	66.5445999956	66.5445999956	66.5445999956	66.5445999946	66.5445999946	66.5445999946	66.544599996	66.544599995	66.544599995	66.5445999945	66.5445999915	66.5445999925	66.5445999993	66.5445999993	66.5445999948	66.5445999948	66.5445999908	66.5445999974	66.5445999984	66.5445999944	66.5445999944	66.5445999994	66.5445999994	66.5445999896	66.5445999896	66.5445999949	66.5445999979	71.6450000003	87.2756000596	87.2756000596	87.2756000596	87.2756000593	87.2756000593	87.2756000593	87.2756000578	87.2756000588	87.2756000591	87.2756000591	87.2756000591	87.2756000591	87.2756000591	87.2756000581	87.2756000582	87.2756000587	87.2756000586	87.2756000566	87.2756000593	87.2756000593	87.2756000583	87.2756000583	87.2756000543	87.2756000553	87.2756000593	87.2756000593	87.2756000593	87.2756000593	87.2756000613	87.2756000613	87.2756000593	87.2756000593	87.2756000563	87.2756000563	95.4102000613	139.5252000613	166.4444000416	166.4444000416	166.4444000386	166.4444000486	166.4444000566	166.4444000536	166.4444000536	166.4444000536	166.4444000536	166.4444000486	166.4444000296	177.8114000393	240.6208000493
Pantherophis_guttatus	32.7659953299	32.7659953299	32.7659953321	32.7659953321	32.7659953304	32.7659953304	32.7659953327	16.702936698	0	11.652136	12.5021255558	12.5021255558	12.5021255558	13.3556004	18.0227107824	23.2231718014	34.433313648	34.433313648	34.8099795346	34.8099795346	34.8099795306	34.8099795306	34.8099795306	34.8099795296	34.8099795335	34.8099795295	34.8099795295	34.8099795335	35.6052553678	35.6052553678	47.474799298	47.474799301	47.474799301	47.474799301	47.474799298	47.474799301	47.474799301	47.4747993	51.107339321	52.5489353443	52.5489353443	55.2737994883	55.2737994887	55.2737994887	55.2737994893	55.2737994893	55.2737994893	55.2737994893	55.2737994857	55.2737994897	55.2737994897	55.2737994857	55.2737994877	58.3101998343	58.3101998343	58.3101998313	58.310199835	58.310199835	58.3101998357	58.3101998357	58.3101998367	58.3101998367	58.3101998403	58.3101998353	58.3101998353	58.3101998353	58.3101998393	58.3101998333	58.3101998313	58.3101998313	66.54459999459	66.54459999459	66.54459999489	66.5445999945	66.5445999945	66.5445999951	66.5445999951	66.5445999951	66.5445999951	66.5445999956	66.5445999956	66.5445999956	66.5445999946	66.5445999946	66.5445999946	66.544599996	66.544599995	66.544599995	66.5445999945	66.5445999915	66.5445999925	66.5445999993	66.5445999993	66.5445999948	66.5445999948	66.5445999908	66.5445999974	66.5445999984	66.5445999944	66.5445999944	66.5445999994	66.5445999994	66.5445999896	66.5445999896	66.5445999949	66.5445999979	71.6450000003	87.2756000596	87.2756000596	87.2756000596	87.2756000593	87.2756000593	87.2756000593	87.2756000578	87.2756000588	87.2756000591	87.2756000591	87.2756000591	87.2756000591	87.2756000591	87.2756000581	87.2756000582	87.2756000587	87.2756000586	87.2756000566	87.2756000593	87.2756000593	87.2756000583	87.2756000583	87.2756000543	87.2756000553	87.2756000593	87.2756000593	87.2756000593	87.2756000593	87.2756000613	87.2756000613	87.2756000593	87.2756000593	87.2756000563	87.2756000563	95.4102000613	139.5252000613	166.4444000416	166.4444000416	166.4444000386	166.4444000486	166.4444000566	166.4444000536	166.4444000536	166.4444000536	166.4444000536	166.4444000486	166.4444000296	177.8114000393	240.6208000493
Pantherophis_vulpinus	32.7659953299	32.7659953299	32.7659953321	32.7659953321	32.7659953304	32.7659953304	32.7659953327	16.702936698	11.652136	0	12.5021255558	12.5021255558	12.5021255558	13.3556004	18.0227107824	23.2231718014	34.433313648	34.433313648	34.8099795346	34.8099795346	34.8099795306	34.8099795306	34.8099795306	34.8099795296	34.8099795335	34.8099795295	34.8099795295	34.8099795335	35.6052553678	35.6052553678	47.474799298	47.474799301	47.474799301	47.474799301	47.474799298	47.474799301	47.474799301	47.4747993	51.107339321	52.5489353443	52.5489353443	55.2737994883	55.2737994887	55.2737994887	55.2737994893	55.2737994893	55.2737994893	55.2737994893	55.2737994857	55.2737994897	55.2737994897	55.2737994857	55.2737994877	58.3101998343	58.3101998343	58.3101998313	58.310199835	58.310199835	58.3101998357	58.3101998357	58.3101998367	58.3101998367	58.3101998403	58.3101998353	58.3101998353	58.3101998353	58.3101998393	58.3101998333	58.3101998313	58.3101998313	66.54459999459	66.54459999459	66.54459999489	66.5445999945	66.5445999945	66.5445999951	66.5445999951	66.5445999951	66.5445999951	66.5445999956	66.5445999956	66.5445999956	66.5445999946	66.5445999946	66.5445999946	66.544599996	66.544599995	66.544599995	66.5445999945	66.5445999915	66.5445999925	66.5445999993	66.5445999993	66.5445999948	66.5445999948	66.5445999908	66.5445999974	66.5445999984	66.5445999944	66.5445999944	66.5445999994	66.5445999994	66.5445999896	66.5445999896	66.5445999949	66.5445999979	71.6450000003	87.2756000596	87.2756000596	87.2756000596	87.2756000593	87.2756000593	87.2756000593	87.2756000578	87.2756000588	87.2756000591	87.2756000591	87.2756000591	87.2756000591	87.2756000591	87.2756000581	87.2756000582	87.2756000587	87.2756000586	87.2756000566	87.2756000593	87.2756000593	87.2756000583	87.2756000583	87.2756000543	87.2756000553	87.2756000593	87.2756000593	87.2756000593	87.2756000593	87.2756000613	87.2756000613	87.2756000593	87.2756000593	87.2756000563	87.2756000563	95.4102000613	139.5252000613	166.4444000416	166.4444000416	166.4444000386	166.4444000486	166.4444000566	166.4444000536	166.4444000536	166.4444000536	166.4444000536	166.4444000486	166.4444000296	177.8114000393	240.6208000493
