label	parent	node	branch.length	families	clade
Ablepharus_budaki	12113	5218	18.554766	Scincidae	Scincoidea
Ablepharus_chernovi	12114	5220	14.761595	Scincidae	Scincoidea
Ablepharus_grayanus	12115	5222	16.421581	Scincidae	Scincoidea
Ablepharus_kitaibelii	12114	5219	14.761595	Scincidae	Scincoidea
Ablepharus_pannonicus	12115	5221	16.421581	Scincidae	Scincoidea
Ablepharus_rueppellii	12113	5217	18.554766	Scincidae	Scincoidea
Abronia_anzuetoi	10492	3589	0.79252	Anguidae	Anguiformes
Abronia_aurita	10491	3591	0.7947793333	Anguidae	Anguiformes
Abronia_campbelli	10492	3590	0.79252	Anguidae	Anguiformes
Abronia_chiszari	10500	3603	7.801545	Anguidae	Anguiformes
Abronia_fimbriata	10493	3593	1.846528	Anguidae	Anguiformes
Abronia_frosti	10494	3596	7.76667	Anguidae	Anguiformes
Abronia_fuscolabialis	10501	3602	3.0601	Anguidae	Anguiformes
Abronia_graminea	10502	3601	2.043918	Anguidae	Anguiformes
Abronia_lythrochila	10493	3594	1.846528	Anguidae	Anguiformes
Abronia_martindelcampoi	10503	3607	6.814235	Anguidae	Anguiformes
Abronia_matudai	10490	3592	2.3117785	Anguidae	Anguiformes
Abronia_mixteca	10484	3616	14.29478543	Anguidae	Anguiformes
Abronia_oaxacae	10498	3605	8.977991	Anguidae	Anguiformes
Abronia_ornelasi	10494	3595	7.76667	Anguidae	Anguiformes
Abronia_taeniata	10502	3600	2.043918	Anguidae	Anguiformes
Acanthocercus_adramitanus	10128	3232	10.661532	Agamidae	Iguania
Acanthocercus_annectans	10121	3223	13.820842	Agamidae	Iguania
Acanthocercus_atricollis	10116	3220	11.5751424	Agamidae	Iguania
Acanthocercus_cyanogaster	10120	3222	12.568062	Agamidae	Iguania
Acanthocercus_guentherpetersi	10120	3221	12.568062	Agamidae	Iguania
Acanthocercus_yemensis	10128	3231	10.661532	Agamidae	Iguania
Acanthodactylus_aegyptius	10654	3753	4.628114	Lacertidae	Lacertoidea
Acanthodactylus_arabicus	10644	3744	14.674145	Lacertidae	Lacertoidea
Acanthodactylus_aureus	10650	3758	20.30591943	Lacertidae	Lacertoidea
Acanthodactylus_bedriagai	10664	3761	5.800465	Lacertidae	Lacertoidea
Acanthodactylus_beershebensis	10662	3763	8.143453	Lacertidae	Lacertoidea
Acanthodactylus_blanci	10666	3766	11.549489	Lacertidae	Lacertoidea
Acanthodactylus_blanfordii	10640	3739	11.269093	Lacertidae	Lacertoidea
Acanthodactylus_boskianus	10649	3747	9.941522	Lacertidae	Lacertoidea
Acanthodactylus_boueti	10660	3765	19.432962	Lacertidae	Lacertoidea
Acanthodactylus_busacki	10665	3759	3.595531	Lacertidae	Lacertoidea
Acanthodactylus_cantoris	10645	3745	13.159212	Lacertidae	Lacertoidea
Acanthodactylus_dumerilii	10655	3755	3.921377	Lacertidae	Lacertoidea
Acanthodactylus_erythrurus	10666	3767	11.549489	Lacertidae	Lacertoidea
Acanthodactylus_felicis	10646	3751	16.65606	Lacertidae	Lacertoidea
Acanthodactylus_gongrorhynchatus	10643	3742	15.179846	Lacertidae	Lacertoidea
Acanthodactylus_grandis	10638	3737	12.103006	Lacertidae	Lacertoidea
Acanthodactylus_guineensis	10656	3772	31.92899721	Lacertidae	Lacertoidea
Acanthodactylus_haasi	10644	3743	14.674145	Lacertidae	Lacertoidea
Acanthodactylus_hardyi	10639	3740	16.48773	Lacertidae	Lacertoidea
Acanthodactylus_harranensis	10638	3736	12.103006	Lacertidae	Lacertoidea
Acanthodactylus_khamirensis	10637	3734	4.727489	Lacertidae	Lacertoidea
Acanthodactylus_longipes	10654	3752	4.628114	Lacertidae	Lacertoidea
Acanthodactylus_maculatus	10661	3764	9.335574	Lacertidae	Lacertoidea
Acanthodactylus_margaritae	10665	3760	3.595531	Lacertidae	Lacertoidea
