lastmajorreleaseaccession	name	taxon_id	species	speciesname	assemblyname	genbank_id	refseq_cat	refseq_id	assembly_status	release_date	assembly_type	contig_n50	scaffold_n50	annotation	stats	gff	ftps	number_of_genes	total_length	gc_content	nb_assemblies	chr_avail	proportion_masked	Complete	Single	Duplicated	Framgented	Missing
GCA_000516915.1	91121	8665	Ophiophagus hannah (king cobra)	Ophiophagus hannah	OphHan1.0	GCA_000516915.1	reference genome		Scaffold	2013/12/11 00:00	haploid	5201	241519	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/516/915/GCA_000516915.1_OphHan1.0/GCA_000516915.1_OphHan1.0_assembly_stats.txt	GCA_000516915.1_OphHan1.0_genomic.gff.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/516/915/GCA_000516915.1_OphHan1.0	18579	1594074654	39.5	1	No	29.94	82.1	81.19999999999999	0.9	7	11
GCA_000737285.1	202101	384069	Crotalus pyrrhus (snakes)	Crotalus pyrrhus	CrotMitch1.0	GCA_000737285.1	reference genome		Scaffold	2014/08/01 00:00	haploid	4103	5299	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/285/GCA_000737285.1_CrotMitch1.0/GCA_000737285.1_CrotMitch1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/285/GCA_000737285.1_CrotMitch1.0		1126791715	38.5	1	No	27.97	29.1	28.900000000000002	0.2	28.3	42.6
GCA_000800605.1	233891	31156	Vipera berus berus (common viper)	Vipera berus	Vber.be_1.0	GCA_000800605.1	na		Scaffold	2014/12/10 00:00	haploid	11725		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/605/GCA_000800605.1_Vber.be_1.0/GCA_000800605.1_Vber.be_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/605/GCA_000800605.1_Vber.be_1.0				2	Yes	NA	NA	NA	NA	NA	NA
GCA_001185365.1	429981	94885	Pantherophis guttatus (snakes)	Pantherophis guttatus	PanGut1.0	GCA_001185365.1	na		Scaffold	2015/07/21 00:00	haploid	2394		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/185/365/GCA_001185365.1_PanGut1.0/GCA_001185365.1_PanGut1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/185/365/GCA_001185365.1_PanGut1.0				4	No	NA	NA	NA	NA	NA	NA
GCA_001527695.1	625191	103944	Protobothrops mucrosquamatus (brown spotted pit viper)	Protobothrops mucrosquamatus	P.Mucros_1.0	GCA_001527695.1	na		Contig	2016/01/15 00:00	haploid	21948		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/527/695/GCA_001527695.1_P.Mucros_1.0/GCA_001527695.1_P.Mucros_1.0_assembly_stats.txt	GCA_001527695.1_P.Mucros_1.0_genomic.gff.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/527/695/GCA_001527695.1_P.Mucros_1.0	0			1	No	NA	NA	NA	NA	NA	NA
GCA_001625485.1	727941	35024	Crotalus horridus (timber rattlesnake)	Crotalus horridus	ASM162548v1	GCA_001625485.1	na		Scaffold	2016/04/21 00:00	haploid	5835		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/625/485/GCA_001625485.1_ASM162548v1/GCA_001625485.1_ASM162548v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/625/485/GCA_001625485.1_ASM162548v1				2	No	NA	NA	NA	NA	NA	NA
GCA_001625485.2	24936971	35024	Crotalus horridus (timber rattlesnake)	Crotalus horridus	ASM162548v2	GCA_001625485.2	reference genome		Scaffold	2024/11/01 00:00	haploid	2255360	2328772	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/625/485/GCA_001625485.2_ASM162548v2/GCA_001625485.2_ASM162548v2_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/625/485/GCA_001625485.2_ASM162548v2		1574170127	40	2	No	41.08	93.1	90.5	2.6	1.2	5.7
GCA_003118565.1	1696521	143630	Paroedura picta (lizards & snakes)	Paroedura picta	Ppicta_assembly_v1	GCA_003118565.1	na		Scaffold	2018/03/22 00:00	haploid	15225		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/118/565/GCA_003118565.1_Ppicta_assembly_v1/GCA_003118565.1_Ppicta_assembly_v1_assembly_stats.txt	GCA_003118565.1_Ppicta_assembly_v1_genomic.gff.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/118/565/GCA_003118565.1_Ppicta_assembly_v1	26849			3	Yes	NA	NA	NA	NA	NA	NA
GCA_003118565.2	10899121	143630	Paroedura picta (lizards & snakes)	Paroedura picta	Ppicta_v2.0	GCA_003118565.2	na		Scaffold	2021/09/14 00:00	haploid	21853		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/118/565/GCA_003118565.2_Ppicta_v2.0/GCA_003118565.2_Ppicta_v2.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/118/565/GCA_003118565.2_Ppicta_v2.0				3	Yes	NA	NA	NA	NA	NA	NA
GCA_003400415.1	1905091	8742	Crotalus viridis viridis (prairie rattlesnake)	Crotalus viridis	CroVir2.0	GCA_003400415.1	na		Scaffold	2018/08/16 00:00	haploid	15735		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/415/GCA_003400415.1_CroVir2.0/GCA_003400415.1_CroVir2.0_assembly_stats.txt	GCA_003400415.1_CroVir2.0_genomic.gff.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/415/GCA_003400415.1_CroVir2.0	0			4	Yes	NA	NA	NA	NA	NA	NA
