NCBI_ID	chromosome	haplotype	Pan_SN	ifreversed
OZ229110.1	1	hap1	rPodTil1#1#1	rev
OZ229111.1	2	hap1	rPodTil1#1#2	rev
OZ229112.1	3	hap1	rPodTil1#1#3	rev
OZ229113.1	4	hap1	rPodTil1#1#4	
OZ229114.1	5	hap1	rPodTil1#1#5	rev
OZ229115.1	6	hap1	rPodTil1#1#6	rev
OZ229116.1	7	hap1	rPodTil1#1#7	
OZ229117.1	8	hap1	rPodTil1#1#8	rev
OZ229118.1	9	hap1	rPodTil1#1#9	rev
OZ229119.1	10	hap1	rPodTil1#1#10	
OZ229120.1	11	hap1	rPodTil1#1#11	rev
OZ229121.1	12	hap1	rPodTil1#1#12	rev
OZ229122.1	13	hap1	rPodTil1#1#13	
OZ229123.1	14	hap1	rPodTil1#1#14	
OZ229124.1	15	hap1	rPodTil1#1#15	rev
OZ229125.1	16	hap1	rPodTil1#1#16	
OZ229126.1	17	hap1	rPodTil1#1#17	
OZ229127.1	18	hap1	rPodTil1#1#18	rev
OZ229128.1	W	hap1	rPodTil1#1#W	
OZ229129.1	Z	hap1	rPodTil1#1#Z	
OZ229093.1	1	hap2	rPodTil1#2#1	rev
OZ229094.1	2	hap2	rPodTil1#2#2	rev
OZ229095.1	3	hap2	rPodTil1#2#3	rev
OZ229096.1	4	hap2	rPodTil1#2#4	
OZ229097.1	5	hap2	rPodTil1#2#5	rev
OZ229098.1	6	hap2	rPodTil1#2#6	rev
OZ229099.1	7	hap2	rPodTil1#2#7	
OZ229100.1	8	hap2	rPodTil1#2#8	rev
OZ229101.1	9	hap2	rPodTil1#2#9	rev
OZ229102.1	10	hap2	rPodTil1#2#10	
OZ229103.1	11	hap2	rPodTil1#2#11	rev
OZ229104.1	12	hap2	rPodTil1#2#12	rev
OZ229105.1	13	hap2	rPodTil1#2#13	
OZ229106.1	14	hap2	rPodTil1#2#14	
OZ229107.1	15	hap2	rPodTil1#2#15	rev
OZ229108.1	16	hap2	rPodTil1#2#16	
OZ229109.1	17	hap2	rPodTil1#2#17
OZ271920.1  18  hap2  rPodTil1#2#18 rev
OZ067038.1	1	hap1	rPodPit1#1#1	
OZ067039.1	2	hap1	rPodPit1#1#2	
OZ067040.1	3	hap1	rPodPit1#1#3	
OZ067041.1	4	hap1	rPodPit1#1#4	
OZ067042.1	5	hap1	rPodPit1#1#6	rev
OZ067043.1	6	hap1	rPodPit1#1#5	rev
OZ067044.1	7	hap1	rPodPit1#1#7	
OZ067045.1	8	hap1	rPodPit1#1#8	
OZ067046.1	9	hap1	rPodPit1#1#9	
OZ067047.1	10	hap1	rPodPit1#1#10	rev
OZ067048.1	11	hap1	rPodPit1#1#11	
OZ067049.1	12	hap1	rPodPit1#1#12	
OZ067050.1	13	hap1	rPodPit1#1#13	
OZ067051.1	14	hap1	rPodPit1#1#14	rev
OZ067052.1	15	hap1	rPodPit1#1#15	
OZ067053.1	16	hap1	rPodPit1#1#16	
OZ067054.1	17	hap1	rPodPit1#1#17	rev
OZ067055.1	18	hap1	rPodPit1#1#18	rev
OZ078260.1	W	hap1	rPodPit1#1#W	
OZ078259.1	Z	hap1	rPodPit1#1#Z	
OZ067003.1	1	hap2	rPodPit1#2#1	
OZ067004.1	2	hap2	rPodPit1#2#2	
OZ067005.1	3	hap2	rPodPit1#2#3	
OZ067006.1	4	hap2	rPodPit1#2#4	
OZ067007.1	5	hap2	rPodPit1#2#5	rev
OZ067008.1	6	hap2	rPodPit1#2#6	rev
OZ067009.1	7	hap2	rPodPit1#2#7	
OZ067010.1	8	hap2	rPodPit1#2#8	
OZ067011.1	9	hap2	rPodPit1#2#9	
OZ067012.1	10	hap2	rPodPit1#2#10	rev
OZ067013.1	11	hap2	rPodPit1#2#11	
OZ067014.1	12	hap2	rPodPit1#2#12	
OZ067015.1	13	hap2	rPodPit1#2#13	
OZ067016.1	14	hap2	rPodPit1#2#14	rev
OZ067017.1	15	hap2	rPodPit1#2#15	
OZ067018.1	16	hap2	rPodPit1#2#16	
OZ067019.1	17	hap2	rPodPit1#2#17	rev
OZ067020.1	18	hap2	rPodPit1#2#18	rev
OX395126.1	1	NA	rPodLil1.2#1#1	rev
OX395127.1	2	NA	rPodLil1.2#1#2	
OX395128.1	3	NA	rPodLil1.2#1#3	
OX395129.1	4	NA	rPodLil1.2#1#4	rev
OX395130.1	5	NA	rPodLil1.2#1#5	
OX395131.1	6	NA	rPodLil1.2#1#6	
OX395132.1	7	NA	rPodLil1.2#1#7	
OX395133.1	8	NA	rPodLil1.2#1#8	
OX395134.1	9	NA	rPodLil1.2#1#9	
OX395135.1	10	NA	rPodLil1.2#1#10	
OX395136.1	11	NA	rPodLil1.2#1#11	rev
OX395137.1	12	NA	rPodLil1.2#1#12	rev
OX395138.1	13	NA	rPodLil1.2#1#13	
OX395139.1	14	NA	rPodLil1.2#1#14	rev
OX395141.1	15	NA	rPodLil1.2#1#15	
OX395143.1	16	NA	rPodLil1.2#1#16	rev
OX395142.1	17	NA	rPodLil1.2#1#17	rev
OX395144.1	18	NA	rPodLil1.2#1#18	
OX395145.1	W	NA	rPodLil1.2#1#W	
OX395140.1	Z	NA	rPodLil1.2#1#Z	rev
CM014743.1	1	NA	PodMur1#1#1	
CM014744.1	2	NA	PodMur1#1#2	
CM014745.1	3	NA	PodMur1#1#3	
CM014746.1	4	NA	PodMur1#1#4	
CM014747.1	5	NA	PodMur1#1#5	
CM014748.1	6	NA	PodMur1#1#6	
CM014749.1	7	NA	PodMur1#1#7	
CM014750.1	8	NA	PodMur1#1#8	
CM014751.1	9	NA	PodMur1#1#9	
CM014752.1	10	NA	PodMur1#1#10	
CM014753.1	11	NA	PodMur1#1#11	
CM014754.1	12	NA	PodMur1#1#12	
CM014755.1	13	NA	PodMur1#1#13	
CM014756.1	14	NA	PodMur1#1#14	
CM014757.1	15	NA	PodMur1#1#15	
CM014758.1	16	NA	PodMur1#1#16	
CM014759.1	17	NA	PodMur1#1#17	
CM014760.1	18	NA	PodMur1#1#18	
CM014761.1	Z	NA	PodMur1#1#Z	
OZ076885.1	1	hap1	rPodBoc1#1#1	
OZ076886.1	2	hap1	rPodBoc1#1#2	rev
OZ076887.1	3	hap1	rPodBoc1#1#3	
OZ076888.1	4	hap1	rPodBoc1#1#6	rev
OZ076889.1	5	hap1	rPodBoc1#1#4	rev
OZ076890.1	6	hap1	rPodBoc1#1#5	rev
OZ076892.1	7	hap1	rPodBoc1#1#8	
OZ076893.1	8	hap1	rPodBoc1#1#7	rev
OZ076894.1	9	hap1	rPodBoc1#1#9	
OZ076895.1	10	hap1	rPodBoc1#1#10	rev
OZ076896.1	11	hap1	rPodBoc1#1#13	
OZ076897.1	12	hap1	rPodBoc1#1#11	rev
OZ076898.1	13	hap1	rPodBoc1#1#15	rev
OZ076899.1	14	hap1	rPodBoc1#1#12	rev
OZ076901.1	15	hap1	rPodBoc1#1#14	
OZ076902.1	16	hap1	rPodBoc1#1#16	rev
OZ076903.1	17	hap1	rPodBoc1#1#17	rev
OZ076904.1	18	hap1	rPodBoc1#1#18	rev
OZ076891.1	W	hap1	rPodBoc1#1#W	
OZ076900.1	Z	hap1	rPodBoc1#1#Z	
OZ077017.1	1	hap2	rPodBoc1#2#1	rev
OZ077018.1	2	hap2	rPodBoc1#2#2	rev
OZ077019.1	3	hap2	rPodBoc1#2#3	rev
OZ077020.1	4	hap2	rPodBoc1#2#5	rev
OZ077021.1	5	hap2	rPodBoc1#2#4	
OZ077022.1	6	hap2	rPodBoc1#2#6	rev
OZ077023.1	7	hap2	rPodBoc1#2#8	rev
OZ077024.1	8	hap2	rPodBoc1#2#7	rev
OZ077025.1	9	hap2	rPodBoc1#2#9	
OZ077026.1	10	hap2	rPodBoc1#2#10	rev
OZ077027.1	11	hap2	rPodBoc1#2#13	rev
OZ077028.1	12	hap2	rPodBoc1#2#11	
OZ077029.1	13	hap2	rPodBoc1#2#15	
OZ077030.1	14	hap2	rPodBoc1#2#12	
OZ077031.1	15	hap2	rPodBoc1#2#14	rev
OZ077032.1	16	hap2	rPodBoc1#2#16	
OZ077033.1	17	hap2	rPodBoc1#2#17	
OZ077034.1	18	hap2	rPodBoc1#2#18	rev
OZ218098.1	1	hap1	rPodLio1#1#1	
OZ218099.1	2	hap1	rPodLio1#1#2	
OZ218100.1	3	hap1	rPodLio1#1#3	
OZ218101.1	4	hap1	rPodLio1#1#4	rev
OZ218102.1	5	hap1	rPodLio1#1#5	
OZ218103.1	6	hap1	rPodLio1#1#6	rev
OZ218104.1	7	hap1	rPodLio1#1#8	rev
OZ218105.1	8	hap1	rPodLio1#1#7	
OZ218106.1	9	hap1	rPodLio1#1#9	rev
OZ218107.1	10	hap1	rPodLio1#1#10	rev
OZ218108.1	11	hap1	rPodLio1#1#11	rev
OZ218109.1	12	hap1	rPodLio1#1#12	
OZ218110.1	13	hap1	rPodLio1#1#13	rev
OZ218111.1	14	hap1	rPodLio1#1#14	rev
OZ218113.1	15	hap1	rPodLio1#1#16	
OZ218114.1	16	hap1	rPodLio1#1#15	rev
OZ218115.1	17	hap1	rPodLio1#1#17	rev
OZ218117.1	18	hap1	rPodLio1#1#18	rev
OZ218116.1	W	hap1	rPodLio1#1#W	
OZ218112.1	Z	hap1	rPodLio1#1#Z	rev
CBCXVD010000001.1	SUPER_1	hap2	rPodLio1#2#1	
CBCXVD010000002.1	SUPER_2	hap2	rPodLio1#2#2	
CBCXVD010000003.1	SUPER_3	hap2	rPodLio1#2#3	
CBCXVD010000004.1	SUPER_4	hap2	rPodLio1#2#4	rev
CBCXVD010000005.1	SUPER_5	hap2	rPodLio1#2#5	
CBCXVD010000006.1	SUPER_6	hap2	rPodLio1#2#6	rev
CBCXVD010000007.1	SUPER_7	hap2	rPodLio1#2#8	rev
CBCXVD010000008.1	SUPER_8	hap2	rPodLio1#2#7	
CBCXVD010000009.1	SUPER_9	hap2	rPodLio1#2#9	rev
CBCXVD010000010.1	SUPER_10	hap2	rPodLio1#2#10	rev
CBCXVD010000011.1	SUPER_11	hap2	rPodLio1#2#12	
CBCXVD010000012.1	SUPER_12	hap2	rPodLio1#2#11	rev
CBCXVD010000013.1	SUPER_13	hap2	rPodLio1#2#13	rev
CBCXVD010000014.1	SUPER_14	hap2	rPodLio1#2#14	rev
CBCXVD010000015.1	SUPER_15	hap2	rPodLio1#2#15	rev
CBCXVD010000016.1	SUPER_16	hap2	rPodLio1#2#16	
CBCXVD010000017.1	SUPER_17	hap2	rPodLio1#2#17	rev
CBCXVD010000018.1	SUPER_18	hap2	rPodLio1#2#18	rev
OZ220363.1	1	hap1	rPodVau1#1#1	
OZ220364.1	2	hap1	rPodVau1#1#2	
OZ220365.1	3	hap1	rPodVau1#1#3	rev
OZ220366.1	4	hap1	rPodVau1#1#4	
OZ220367.1	5	hap1	rPodVau1#1#5	rev
OZ220368.1	6	hap1	rPodVau1#1#6	
OZ220369.1	7	hap1	rPodVau1#1#8	
OZ220370.1	8	hap1	rPodVau1#1#7	rev
OZ220371.1	9	hap1	rPodVau1#1#9	rev
OZ220372.1	10	hap1	rPodVau1#1#10	
OZ220373.1	11	hap1	rPodVau1#1#11	
OZ220374.1	12	hap1	rPodVau1#1#12	rev
OZ220375.1	13	hap1	rPodVau1#1#13	rev
OZ220376.1	14	hap1	rPodVau1#1#14	
OZ220377.1	15	hap1	rPodVau1#1#15	
OZ220378.1	16	hap1	rPodVau1#1#16	
OZ220379.1	17	hap1	rPodVau1#1#17	rev
OZ220380.1	18	hap1	rPodVau1#1#18	
OZ220381.1	W	hap1	rPodVau1#1#W	
OZ220382.1	Z	hap1	rPodVau1#1#Z	rev
OZ220345.1	1	hap2	rPodVau1#2#1	
OZ220346.1	2	hap2	rPodVau1#2#2	
OZ220347.1	3	hap2	rPodVau1#2#3	rev
OZ220348.1	4	hap2	rPodVau1#2#4	
OZ220349.1	5	hap2	rPodVau1#2#5	rev
OZ220350.1	6	hap2	rPodVau1#2#6	
OZ220351.1	7	hap2	rPodVau1#2#8	
OZ220352.1	8	hap2	rPodVau1#2#7	rev
OZ220353.1	9	hap2	rPodVau1#2#9	rev
OZ220354.1	10	hap2	rPodVau1#2#10	
OZ220355.1	11	hap2	rPodVau1#2#11	
OZ220356.1	12	hap2	rPodVau1#2#12	rev
OZ220357.1	13	hap2	rPodVau1#2#13	rev
OZ220358.1	14	hap2	rPodVau1#2#14	
OZ220359.1	15	hap2	rPodVau1#2#15	
OZ220360.1	16	hap2	rPodVau1#2#16	
OZ220361.1	17	hap2	rPodVau1#2#17	rev
OZ220362.1	18	hap2	rPodVau1#2#18	
OZ076838	1	hap1	rPodSic1#1#1	
OZ076839	2	hap1	rPodSic1#1#2	rev
OZ076840	3	hap1	rPodSic1#1#3	
OZ076841	4	hap1	rPodSic1#1#4	
OZ076842	5	hap1	rPodSic1#1#5	
OZ076843	6	hap1	rPodSic1#1#6	
OZ076844	7	hap1	rPodSic1#1#8	rev
OZ076845	8	hap1	rPodSic1#1#7	
OZ076846	9	hap1	rPodSic1#1#9	
OZ076847	10	hap1	rPodSic1#1#10	rev
OZ076848	11	hap1	rPodSic1#1#11	rev
OZ076849	12	hap1	rPodSic1#1#12	rev
OZ076850	13	hap1	rPodSic1#1#13	rev
OZ076851	14	hap1	rPodSic1#1#14	rev
OZ076853	15	hap1	rPodSic1#1#15	rev
OZ076854	16	hap1	rPodSic1#1#17	rev
OZ076855	17	hap1	rPodSic1#1#16	
OZ076857	18	hap1	rPodSic1#1#18	rev
OZ076856	W	hap1	rPodSic1#1#W	
OZ076852	Z	hap1	rPodSic1#1#Z	rev
CAXLPE010000001.1	RL_4	hap2	rPodSic1#2#1	
CAXLPE010000002.1	RL_2	hap2	rPodSic1#2#2	rev
CAXLPE010000003.1	RL_6	hap2	rPodSic1#2#3	
CAXLPE010000004.1	RL_8	hap2	rPodSic1#2#4	
CAXLPE010000005.1	RL_10	hap2	rPodSic1#2#5	
CAXLPE010000006.1	RL_12	hap2	rPodSic1#2#6	rev
CAXLPE010000007.1	RL_16	hap2	rPodSic1#2#7	
CAXLPE010000008.1	RL_14	hap2	rPodSic1#2#8	rev
CAXLPE010000009.1	RL_20	hap2	rPodSic1#2#10	
CAXLPE010000010.1	RL_18	hap2	rPodSic1#2#9	
CAXLPE010000011.1	RL_22	hap2	rPodSic1#2#11	
CAXLPE010000012.1	RL_24	hap2	rPodSic1#2#12	
CAXLPE010000013.1	RL_26	hap2	rPodSic1#2#13	
CAXLPE010000014.1	RL_28	hap2	rPodSic1#2#14	rev
CAXLPE010000015.1	RL_34	hap2	rPodSic1#2#15	rev
CAXLPE010000016.1	RL_36	hap2	rPodSic1#2#16	
CAXLPE010000017.1	RL_38	hap2	rPodSic1#2#17	
CAXLPE010000018.1	RL_32	hap2	rPodSic1#2#18	rev
NC_070602.1	1	NA	rPodRaf1#1#1	
NC_070603.1	2	NA	rPodRaf1#1#2	
NC_070604.1	3	NA	rPodRaf1#1#3	
NC_070605.1	4	NA	rPodRaf1#1#4	
NC_070606.1	5	NA	rPodRaf1#1#5	
NC_070607.1	6	NA	rPodRaf1#1#6	
NC_070608.1	7	NA	rPodRaf1#1#7	
NC_070609.1	8	NA	rPodRaf1#1#8	
NC_070610.1	9	NA	rPodRaf1#1#9	
NC_070611.1	10	NA	rPodRaf1#1#10	
NC_070612.1	11	NA	rPodRaf1#1#11	
NC_070613.1	12	NA	rPodRaf1#1#12	
NC_070614.1	13	NA	rPodRaf1#1#13	
NC_070615.1	14	NA	rPodRaf1#1#14	
NC_070616.1	15	NA	rPodRaf1#1#15	
NC_070617.1	16	NA	rPodRaf1#1#16	
NC_070618.1	17	NA	rPodRaf1#1#17	
NC_070619.1	18	NA	rPodRaf1#1#18	
NC_070620.1	W	NA	rPodRaf1#1#W	
NC_070621.1	Z	NA	rPodRaf1#1#Z	
OX638149.1	1	NA	rPodCre2.1#1#1	
OX638150.1	2	NA	rPodCre2.1#1#2	
OX638151.1	3	NA	rPodCre2.1#1#3	rev
OX638152.1	4	NA	rPodCre2.1#1#4	
OX638153.1	5	NA	rPodCre2.1#1#5	
OX638154.1	6	NA	rPodCre2.1#1#6	rev
OX638155.1	7	NA	rPodCre2.1#1#7	rev
OX638156.1	8	NA	rPodCre2.1#1#8	
OX638157.1	9	NA	rPodCre2.1#1#9	rev
OX638158.1	10	NA	rPodCre2.1#1#10	rev
OX638159.1	11	NA	rPodCre2.1#1#11	rev
OX638160.1	12	NA	rPodCre2.1#1#12	
OX638161.1	13	NA	rPodCre2.1#1#13	
OX638162.1	14	NA	rPodCre2.1#1#14	
OX638164.1	15	NA	rPodCre2.1#1#15	
OX638165.1	16	NA	rPodCre2.1#1#16	
OX638166.1	17	NA	rPodCre2.1#1#17	
OX638167.1	18	NA	rPodCre2.1#1#18	
OX638163.1	Z	NA	rPodCre2.1#1#Z	
OZ174275.1	1	hap1	rPodMel1#1#1	
OZ174276.1	2	hap1	rPodMel1#1#2	
OZ174277.1	3	hap1	rPodMel1#1#3	rev
OZ174278.1	4	hap1	rPodMel1#1#4	rev
OZ174279.1	5	hap1	rPodMel1#1#5	rev
OZ174280.1	6	hap1	rPodMel1#1#6	rev
OZ174281.1	7	hap1	rPodMel1#1#7	
OZ174282.1	8	hap1	rPodMel1#1#8	rev
OZ174283.1	9	hap1	rPodMel1#1#9	rev
OZ174284.1	10	hap1	rPodMel1#1#10	
OZ174285.1	11	hap1	rPodMel1#1#11	rev
OZ174286.1	12	hap1	rPodMel1#1#12	rev
OZ174287.1	13	hap1	rPodMel1#1#13	rev
OZ174288.1	14	hap1	rPodMel1#1#14	rev
OZ174290.1	15	hap1	rPodMel1#1#15	rev
OZ174291.1	16	hap1	rPodMel1#1#16	
OZ174292.1	17	hap1	rPodMel1#1#17	rev
OZ174294.1	18	hap1	rPodMel1#1#18	rev
