Assembly.Accession	Assembly.Name	Organism.Name	Organism.Infraspecific.Names.Breed	Organism.Infraspecific.Names.Strain	Organism.Infraspecific.Names.Cultivar	Organism.Infraspecific.Names.Ecotype	Organism.Infraspecific.Names.Isolate	Organism.Infraspecific.Names.Sex	Annotation.Name	Assembly.Level	Assembly.Release.Date	WGS.project.accession	Assembly.Stats.Number.of.Scaffolds	path_to_genome	clade	MyName
GCA_964188175.1	rPodSic1.hap1.1	Podarcis siculus	NA	NA	NA	NA	NA	NA	NA	Chromosome	2024-06-21	CAXLOV01	293	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodSic1.fasta	Siculus	rPodSic1
GCA_004329235.1	PodMur_1.0	Podarcis muralis	NA	NA	NA	yellow	NA	male	NA	Chromosome	2019-03-07	SIRZ01	2160	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/PodMur1.fasta	Muralis	PodMur1
GCF_004329235.1	PodMur_1.0	Podarcis muralis	NA	NA	NA	yellow	NA	male	NCBI Podarcis muralis Annotation Release 100	Chromosome	2019-03-07	SIRZ01	2160	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/PodMur1.fasta	Muralis	PodMur1
GCA_027172205.1	rPodRaf1.pri	Podarcis raffonei	NA	NA	NA	La Canna islet	rPodRaf1	female	NA	Chromosome	2022-12-27	JAPYJY01	27	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodRaf1.fasta	Sicilian-Maltese	rPodRaf1
GCF_027172205.1	rPodRaf1.pri	Podarcis raffonei	NA	NA	NA	NA	rPodRaf1	female	GCF_027172205.1-RS_2023_02	Chromosome	2022-12-27	JAPYJY01	27	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodRaf1.fasta	Sicilian-Maltese	rPodRaf1
GCA_951804945.1	rPodCre2.1	Podarcis cretensis	NA	NA	NA	NA	NA	NA	NA	Chromosome	2023-06-02	CATORL01	50	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodCre2.1.fasta	Balkan	rPodCre2.1
GCA_964252035.1	rPodErh1.hap1.1	Podarcis erhardii	NA	NA	NA	NA	NA	NA	NA	Chromosome	2024-08-31	CAXUOO01	325	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodErh1.fasta	Balkan	rPodErh1
GCA_964270895.1	rPodFil1.hap1.1	Podarcis filfolensis	NA	NA	NA	NA	NA	NA	NA	Chromosome	2024-09-29	CAXWSZ01	348	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodFil1.fasta	Sicilian-Maltese	rPodFil1
GCA_965112155.1	rPodLio1.hap1.1	Podarcis liolepis	NA	NA	NA	NA	NA	NA	NA	Chromosome	2025-01-23	CBCOQI01	289	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodLio1.fasta	Iberian	rPodLio1
GCA_964106915.2	rPodGai1.hap1.2	Podarcis gaigeae	NA	NA	NA	NA	NA	NA	NA	Chromosome	2024-09-17	CAXKYZ02	210	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodGai1.fasta	Balkan	rPodGai1
GCA_964188305.1	rPodBoc1.hap1.1	Podarcis bocagei	NA	NA	NA	NA	NA	NA	NA	Chromosome	2024-06-21	CAXLOY01	506	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodBoc1.fasta	Iberian	rPodBoc1
GCA_947686815.1	rPodLil1.2	Podarcis lilfordi	NA	NA	NA	NA	NA	NA	Annotation submitted by UB (Universitat de Barcelona)	Chromosome	2023-08-09	CANTUW01	2148	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodLil1.2.fasta	Western	rPodLil1.2
GCA_964188315.1	rPodMur119.hap1.1	Podarcis muralis nigriv.	NA	NA	NA	NA	NA	NA	NA	Chromosome	2024-06-21	CAXLPC01	184	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodMur119.fasta	Muralis	rPodMur119
GCA_014706415.1	LU_Pmuni_1.1	Podarcis muralis nigriventris	NA	NA	NA	NA	SMA-M2-Green	male	NA	Chromosome	2020-10-02	JACVSS01	3561	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/Pmuni1.1.fasta	Muralis	Pmuni1.1
GCA_964234715.1	rPodMel1.hap1.1	Podarcis melisellensis	NA	NA	NA	NA	NA	NA	NA	Chromosome	2024-08-31	CAXSAM01	385	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodMel1.fasta	Balkan	rPodMel1
GCA_965113315.1	rPodVau1.hap1.1	Podarcis vaucheri	NA	NA	NA	NA	NA	NA	NA	Chromosome	2025-01-24	CBCOUM01	284	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodVau1.fasta	Iberian	rPodVau1
GCA_964106645.2	rPodPit1.hap1.2	Podarcis pityusensis	NA	NA	NA	NA	NA	NA	NA	Chromosome	2024-07-06	CAXKZF02	335	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodPit1.fasta	Western	rPodPit1
Not_released	rPodTil1	Podarcis tiliguerta	NA	NA	NA	NA	NA	female	NA	Chromosome	NA	NA	258	/groups/mpistaff/Zajac/genomes/ncbi_dataset/data/ALL/rPodTil1.fasta	Western	rPodTil1
